ID,text
193,@anjali_jha_ @ShrutiTuli @imrealasim Ek aur good news https://t.co/SzO4bvFimL
194,RT @NYPD113Pct: Even in inclement weather our auxiliary are hard at work helping the community they come from and serve. https://t.co/MenF2…
195,"RT @vietthanhsports: Sorry, but I feel nothing for this man and hope he never lives down what he has done.  Well there goes my Karma for th…"
196,"RT @Koreaboo: TWICE’s Chaeyoung Warns Nayeon’s Stalker After He Leaks Her Phone Number

https://t.co/ZZS448eQ12"
197,RT @Bb13Hasan: According to the news @realhimanshi will Enter in the house..im happy but my question is Asim ki family to @realumarriaz Bha…
198,"BREAKING: Senator Hawley Drafts Motions To Subpoena Bidens, Schiff, Whistleblower | The Daily Wire https://t.co/lrT5GXLt1Z"
199,@James_0707 Beautiful January weather
200,RT @DonaldJTrumpJr: Their only “probable cause” was they hated ⁦@realDonaldTrump⁩ and would fabricate anything to hurt him and his presiden…
201,"RT @Imamofpeace: What happened:

1- Fake Twitter account tweets unverified video of a boy’s body and claims he’d been kidnapped &amp; killed by…"
202,"RT @TribalArmy: Few facts about @jairbolsonaro 

1. He’s responsible for destroying Amazon rainforest.

2. Openly racist,Anti-women, anti-t…"
203,Bitcoin Price Finds Crucial Support Ahead Of Chinese New Year: #Crypto Weekly Market Upadte - CryptoPotato… https://t.co/ctBQJJdxmV
204,"RT @SierraClub: ""Political appointees at the interior department have sought to play up climate pollution from California wildfires while d…"
205,RT @ItsRDil: News channel on #RepublicDay https://t.co/TwLbB9Ifm1
206,"RT @SubjectKpop: All the news sites are reporting on the issue now

Hopefully the upcoming news is about JYPE filing another lawsuit on him…"
207,"RT @opa1420: Captain Cook never circumnavigated Australia, but in 1802 this Indigenous Australian did. https://t.co/QmbOOUQm79 @SBSNews"
208,"RT @PeterCronau: On Oi Oi Day why not check in to you local massacre site. 

The killing times: a massacre map of Australia's frontier wars…"
209,RT @vvanwilgenburg: Iran arrests Kurdish journalist for not using ‘martyr’ to describe Soleimani: Report https://t.co/0tsinN7zbB
210,"Good morning Madrid, January 26, 2020 at 08:29AM. High: 11ºC (52)ºF, Low: 2ºC (36)ºF. Conditions: Fog #weather #madrid #tiempo"
211,"RT @evanlweber: BREAKING: @TomPerez’s nominations to @DNC 2020 governing committee.

More ppl will be added from the leading candidates, bu…"
212,"RT @davidpaulk: After #2019nCoV was traced to a Wuhan wet market where many unusual animals were sold, 19 scientists and scholars have dema…"
213,RT @LaQueenJ: Cancer is a problem facing all of us good news is that lady hope helps poor patients who cannot support themselves financiall…
214,RT @Imamofpeace: Let me clarify how disastrous this is: An apologist for terrorists in Palestine quote-retweets an unverified video (from a…
215,#10km3x2 map #endemic species #biodiversity use as #verification of #CarbonTax Opinion | How Does a Nation Adapt to… https://t.co/rBog60Ng4O
216,"RT @BelindaJones68: Rosie Batty 'utterly dismayed' that Bettina Arndt has been awarded an AM
🐝
#auspol #AustraliaDayHonours #AustraliaDayAw…"
217,"RT @chiarazambrano: Remember when we witnessed the massive destruction of Scarborough Shoal by fleets of Chinese giant clam diggers? 

The…"
218,"RT @_whitneywebb: Yesterday, Israeli PM Netanyahu compared Iran, which protects its Jewish minority, to Nazi Germany.

Today, Israel's High…"
219,"@TeslaratiApp What do you mean by saying debut? Is any Rivian even for buying, or at least concrete date is known?… https://t.co/WviZvoXhYF"
220,"RT @brieannafrank: In light of the Rachel Henry case, my latest story offers resources/other info to parents in crisis who may hurt their c…"
221,"RT @realDonaldTrump: Our case against lyin’, cheatin’, liddle’ Adam “Shifty” Schiff, Cryin’ Chuck Schumer, Nervous Nancy Pelosi, their lead…"
222,RT @historyogi: This is certainly news to the Aboriginal people who were already there. 🤔 https://t.co/N3dYbxUWoB
223,"@GotabayaR This happens when President Gotabaya Rajapaksha is not aware what he should not do ! 

""AG summoned befo… https://t.co/PWAKa3wOI3"
224,"RT @saludosyrespect: ""We now live in a nation where any publisher can be taken offline at any moment, without notice, simply because the va…"
